time,mv
00:52.370540,-0.008
00:52.374450,-0.007
00:52.378360,-0.007
00:52.382270,-0.008
00:52.386180,-0.009000000000000001
00:52.390090,-0.01
00:52.394000,-0.011
00:52.397910,-0.01
00:52.401820,-0.01
00:52.405730,-0.01
00:52.409640,-0.01
00:52.413550,-0.011
00:52.417460,-0.012
00:52.421370,-0.011
00:52.425280,-0.012
00:52.429190,-0.012
00:52.433100,-0.013000000000000001
00:52.437010,-0.012
00:52.440920,-0.011
00:52.444830,-0.011
00:52.448740,-0.01
00:52.452650,-0.01
00:52.456560,-0.012
00:52.460470,-0.013000000000000001
00:52.464380,-0.012
00:52.468290,-0.012
00:52.472200,-0.012
00:52.476110,-0.012
00:52.480020,-0.013000000000000001
00:52.483930,-0.012
00:52.487840,-0.012
00:52.491750,-0.012
00:52.495660,-0.013000000000000001
00:52.499570,-0.013000000000000001
00:52.503480,-0.013000000000000001
00:52.507390,-0.014
00:52.511300,-0.014
00:52.515210,-0.014
00:52.519120,-0.013000000000000001
00:52.523030,-0.012
00:52.526940,-0.014
00:52.530850,-0.014
00:52.534760,-0.014
00:52.538670,-0.013000000000000001
00:52.542580,-0.013000000000000001
00:52.546490,-0.014
00:52.550400,-0.013000000000000001
00:52.554310,-0.013000000000000001
00:52.558220,-0.014
00:52.562130,-0.014
00:52.566040,-0.013000000000000001
00:52.569950,-0.012
00:52.573860,-0.012
00:52.577770,-0.013000000000000001
00:52.581680,-0.013000000000000001
00:52.585590,-0.013000000000000001
00:52.589500,-0.012
00:52.593410,-0.012
00:52.597320,-0.013000000000000001
00:52.601230,-0.013000000000000001
00:52.605140,-0.012
00:52.609050,-0.012
00:52.612960,-0.013000000000000001
00:52.616870,-0.012
00:52.620780,-0.013000000000000001
00:52.624690,-0.014
00:52.628600,-0.013000000000000001
00:52.632510,-0.013000000000000001
00:52.636420,-0.013000000000000001
00:52.640330,-0.012
00:52.644240,-0.013000000000000001
00:52.648150,-0.013000000000000001
00:52.652060,-0.012
00:52.655970,-0.011
00:52.659880,-0.011
00:52.663790,-0.01
00:52.667700,-0.009000000000000001
00:52.671610,-0.009000000000000001
00:52.675520,-0.008
00:52.679430,-0.006
00:52.683340,-0.004
00:52.687250,-0.004
00:52.691160,-0.003
00:52.695070,0.0
00:52.698980,0.002
00:52.702890,0.003
00:52.706800,0.004
00:52.710710,0.003
00:52.714620,0.003
00:52.718530,0.002
00:52.722440,0.001
00:52.726350,0.001
00:52.730260,0.001
00:52.734170,-0.002
00:52.738080,-0.004
00:52.741990,-0.007
00:52.745900,-0.009000000000000001
00:52.749810,-0.011
00:52.753720,-0.013000000000000001
00:52.757630,-0.013000000000000001
00:52.761540,-0.014
00:52.765450,-0.016
00:52.769360,-0.015
00:52.773270,-0.015
00:52.777180,-0.015
00:52.781090,-0.016
00:52.785000,-0.016
00:52.788910,-0.016
00:52.792820,-0.017
00:52.796730,-0.017
00:52.800640,-0.017
00:52.804550,-0.016
00:52.808460,-0.017
00:52.812370,-0.017
00:52.816280,-0.017
00:52.820190,-0.017
00:52.824100,-0.017
00:52.828010,-0.015
00:52.831920,-0.012
00:52.835830,-0.006
00:52.839740,0.005
00:52.843650,0.024
00:52.847560,0.054
00:52.851470,0.095
00:52.855380,0.138
00:52.859290,0.164
00:52.863200,0.16
00:52.867110,0.124
00:52.871020,0.062
00:52.874930,-0.007
00:52.878840,-0.06
00:52.882750,-0.077
00:52.886660,-0.07200000000000001
00:52.890570,-0.063
00:52.894480,-0.052000000000000005
00:52.898390,-0.041
00:52.902300,-0.034
00:52.906210,-0.03
00:52.910120,-0.026000000000000002
00:52.914030,-0.022
00:52.917940,-0.014
00:52.921850,-0.012
00:52.925760,-0.011
00:52.929670,-0.01
00:52.933580,-0.01
00:52.937490,-0.011
00:52.941400,-0.011
00:52.945310,-0.009000000000000001
00:52.949220,-0.009000000000000001
00:52.953130,-0.009000000000000001
00:52.957040,-0.008
00:52.960950,-0.007
00:52.964860,-0.005
00:52.968770,-0.005
00:52.972680,-0.004
00:52.976590,-0.004
00:52.980500,-0.003
00:52.984410,-0.002
00:52.988320,-0.003
00:52.992230,-0.002
00:52.996140,0.0
00:53.000050,0.002
00:53.003960,0.002
00:53.007870,0.003
00:53.011780,0.005
00:53.015690,0.007
00:53.019600,0.01
00:53.023510,0.012
00:53.027420,0.013000000000000001
00:53.031330,0.013000000000000001
00:53.035240,0.015
00:53.039150,0.018000000000000002
00:53.043060,0.019
00:53.046970,0.021
00:53.050880,0.023
00:53.054790,0.025
00:53.058700,0.028
00:53.062610,0.03
00:53.066520,0.032
00:53.070430,0.033
00:53.074340,0.034
00:53.078250,0.036000000000000004
00:53.082160,0.036000000000000004
00:53.086070,0.038
00:53.089980,0.04
00:53.093890,0.04
00:53.097800,0.039
00:53.101710,0.039
00:53.105620,0.04
00:53.109530,0.04
00:53.113440,0.039
00:53.117350,0.039
00:53.121260,0.038
00:53.125170,0.038
00:53.129080,0.037
00:53.132990,0.036000000000000004
00:53.136900,0.035
00:53.140810,0.032
00:53.144720,0.031
00:53.148630,0.028
00:53.152540,0.027
00:53.156450,0.025
00:53.160360,0.023
00:53.164270,0.019
00:53.168180,0.017
00:53.172090,0.015
00:53.176000,0.013000000000000001
00:53.179910,0.011
00:53.183820,0.009000000000000001
00:53.187730,0.004
00:53.191640,0.002
00:53.195550,0.0
00:53.199460,-0.001
00:53.203370,-0.001
00:53.207280,-0.002
00:53.211190,-0.002
00:53.215100,-0.002
00:53.219010,-0.003
00:53.222920,-0.004
00:53.226830,-0.004
00:53.230740,-0.004
00:53.234650,-0.005
00:53.238560,-0.005
00:53.242470,-0.004
00:53.246380,-0.005
00:53.250290,-0.006
00:53.254200,-0.004
00:53.258110,-0.005
00:53.262020,-0.004
00:53.265930,-0.004
00:53.269840,-0.004
00:53.273750,-0.004
00:53.277660,-0.004
00:53.281570,-0.003
00:53.285480,-0.003
00:53.289390,-0.004
00:53.293300,-0.004
00:53.297210,-0.002
00:53.301120,-0.001
00:53.305030,-0.001
00:53.308940,-0.001
00:53.312850,-0.001
00:53.316760,-0.002
00:53.320670,-0.002
00:53.324580,-0.002
00:53.328490,-0.002
00:53.332400,-0.003
00:53.336310,-0.003
00:53.340220,-0.003
00:53.344130,-0.003
00:53.348040,-0.002
00:53.351950,-0.002
00:53.355860,-0.003
00:53.359770,-0.005
00:53.363680,-0.004
00:53.367590,-0.004
00:53.371500,-0.006
00:53.375410,-0.005
00:53.379320,-0.005
00:53.383230,-0.005
00:53.387140,-0.006
00:53.391050,-0.006
00:53.394960,-0.006
00:53.398870,-0.007
00:53.402780,-0.008
00:53.406690,-0.008
00:53.410600,-0.008
00:53.414510,-0.008
00:53.418420,-0.008
00:53.422330,-0.008
00:53.426240,-0.007
00:53.430150,-0.008
00:53.434060,-0.009000000000000001
00:53.437970,-0.009000000000000001
00:53.441880,-0.01
00:53.445790,-0.01
00:53.449700,-0.01
00:53.453610,-0.01
00:53.457520,-0.009000000000000001
00:53.461430,-0.009000000000000001
00:53.465340,-0.01
00:53.469250,-0.01
00:53.473160,-0.01
00:53.477070,-0.01
00:53.480980,-0.011
00:53.484890,-0.01
00:53.488800,-0.009000000000000001
00:53.492710,-0.008
00:53.496620,-0.007
00:53.500530,-0.006
00:53.504440,-0.006
00:53.508350,-0.006
00:53.512260,-0.007
00:53.516170,-0.006
00:53.520080,-0.003
00:53.523990,-0.001
00:53.527900,-0.002
00:53.531810,-0.002
00:53.535720,0.001
00:53.539630,0.003
00:53.543540,0.003
00:53.547450,0.003
00:53.551360,0.003
00:53.555270,0.002
00:53.559180,0.001
00:53.563090,0.003
00:53.567000,0.001
00:53.570910,0.0
00:53.574820,0.0
00:53.578730,-0.001
00:53.582640,-0.003
00:53.586550,-0.004
00:53.590460,-0.005
00:53.594370,-0.006
00:53.598280,-0.009000000000000001
00:53.602190,-0.01
00:53.606100,-0.011
00:53.610010,-0.013000000000000001
00:53.613920,-0.013000000000000001
00:53.617830,-0.012
00:53.621740,-0.013000000000000001
00:53.625650,-0.013000000000000001
00:53.629560,-0.013000000000000001
00:53.633470,-0.013000000000000001
00:53.637380,-0.014
00:53.641290,-0.015
00:53.645200,-0.015
00:53.649110,-0.014
00:53.653020,-0.014
00:53.656930,-0.014
00:53.660840,-0.015
00:53.664750,-0.014
00:53.668660,-0.014
00:53.672570,-0.014
00:53.676480,-0.015
00:53.680390,-0.013000000000000001
00:53.684300,-0.009000000000000001
00:53.688210,-0.004
00:53.692120,0.006
00:53.696030,0.023
00:53.699940,0.048
00:53.703850,0.083
00:53.707760,0.124
00:53.711670,0.154
00:53.715580,0.158
00:53.719490,0.131
00:53.723400,0.079
00:53.727310,0.016
00:53.731220,-0.068
00:53.735130,-0.067
00:53.739040,-0.06
00:53.742950,-0.049
00:53.746860,-0.038
00:53.750770,-0.03
00:53.754680,-0.026000000000000002
00:53.758590,-0.023
00:53.762500,-0.02
00:53.766410,-0.017
00:53.770320,-0.013000000000000001
00:53.774230,-0.009000000000000001
00:53.778140,-0.008
00:53.782050,-0.007
00:53.785960,-0.007
00:53.789870,-0.007
00:53.793780,-0.006
00:53.797690,-0.006
00:53.801600,-0.007
00:53.805510,-0.005
00:53.809420,-0.003
00:53.813330,-0.003
00:53.817240,-0.002
00:53.821150,-0.002
00:53.825060,-0.001
00:53.828970,0.0
00:53.832880,0.001
00:53.836790,0.001
00:53.840700,0.002
00:53.844610,0.003
00:53.848520,0.004
00:53.852430,0.004
00:53.856340,0.004
00:53.860250,0.006
00:53.864160,0.008
00:53.868070,0.01
00:53.871980,0.012
00:53.875890,0.013000000000000001
00:53.879800,0.015
00:53.883710,0.017
00:53.887620,0.019
00:53.891530,0.021
00:53.895440,0.023
00:53.899350,0.025
00:53.903260,0.026000000000000002
00:53.907170,0.028
00:53.911080,0.03
00:53.914990,0.033
00:53.918900,0.035
00:53.922810,0.037
00:53.926720,0.038
00:53.930630,0.038
00:53.934540,0.04
00:53.938450,0.041
00:53.942360,0.042
00:53.946270,0.042
00:53.950180,0.042
00:53.954090,0.042
00:53.958000,0.042
00:53.961910,0.042
00:53.965820,0.042
00:53.969730,0.042
00:53.973640,0.04
00:53.977550,0.039
00:53.981460,0.039
00:53.985370,0.037
00:53.989280,0.034
00:53.993190,0.033
00:53.997100,0.032
00:54.001010,0.03
00:54.004920,0.023
00:54.008830,0.021
00:54.012740,0.018000000000000002
00:54.016650,0.015
00:54.020560,0.014
00:54.024470,0.01
00:54.028380,0.007
00:54.032290,0.005
00:54.036200,0.004
00:54.040110,0.002
00:54.044020,0.001
00:54.047930,-0.001
00:54.051840,-0.002
00:54.055750,-0.003
00:54.059660,-0.002
00:54.063570,-0.002
00:54.067480,-0.003
00:54.071390,-0.004
00:54.075300,-0.005
00:54.079210,-0.005
00:54.083120,-0.005
00:54.087030,-0.006
00:54.090940,-0.005
00:54.094850,-0.006
00:54.098760,-0.005
00:54.102670,-0.005
00:54.106580,-0.006
00:54.110490,-0.006
00:54.114400,-0.005
00:54.118310,-0.005
00:54.122220,-0.005
00:54.126130,-0.004
00:54.130040,-0.004
00:54.133950,-0.003
00:54.137860,-0.003
00:54.141770,-0.003
00:54.145680,-0.002
00:54.149590,-0.001
00:54.153500,-0.002
00:54.157410,-0.003
00:54.161320,-0.003
00:54.165230,-0.002
00:54.169140,-0.001
00:54.173050,-0.001
00:54.176960,-0.001
00:54.180870,-0.001
00:54.184780,-0.001
00:54.188690,-0.001
00:54.192600,-0.001
00:54.196510,-0.001
00:54.200420,-0.002
00:54.204330,-0.002
00:54.208240,-0.002
00:54.212150,-0.002
00:54.216060,-0.002
00:54.219970,-0.003
00:54.223880,-0.004
00:54.227790,-0.004
00:54.231700,-0.004
00:54.235610,-0.004
00:54.239520,-0.005
00:54.243430,-0.005
00:54.247340,-0.005
00:54.251250,-0.006
00:54.255160,-0.006
00:54.259070,-0.006
00:54.262980,-0.006
00:54.266890,-0.006
00:54.270800,-0.007
00:54.274710,-0.007
00:54.278620,-0.007
00:54.282530,-0.007
00:54.286440,-0.008
00:54.290350,-0.008
00:54.294260,-0.008
00:54.298170,-0.008
00:54.302080,-0.008
00:54.305990,-0.009000000000000001
00:54.309900,-0.01
00:54.313810,-0.009000000000000001
00:54.317720,-0.008
00:54.321630,-0.008
00:54.325540,-0.008
00:54.329450,-0.009000000000000001
00:54.333360,-0.01
00:54.337270,-0.01
00:54.341180,-0.009000000000000001
00:54.345090,-0.009000000000000001
00:54.349000,-0.01
00:54.352910,-0.01
00:54.356820,-0.01
00:54.360730,-0.01
00:54.364640,-0.011
00:54.368550,-0.011
00:54.372460,-0.011
00:54.376370,-0.011
00:54.380280,-0.011
00:54.384190,-0.01
00:54.388100,-0.009000000000000001
00:54.392010,-0.008
00:54.395920,-0.007
00:54.399830,-0.006
00:54.403740,-0.005
00:54.407650,-0.004
00:54.411560,-0.004
00:54.415470,-0.004
00:54.419380,-0.002
00:54.423290,-0.001
00:54.427200,0.0
00:54.431110,0.001
00:54.435020,0.002
00:54.438930,0.004
00:54.442840,0.005
00:54.446750,0.005
00:54.450660,0.004
00:54.454570,0.003
00:54.458480,0.001
00:54.462390,0.0
00:54.466300,0.0
00:54.470210,0.0
00:54.474120,-0.001
00:54.478030,-0.004
00:54.481940,-0.004
00:54.485850,-0.004
00:54.489760,-0.005
00:54.493670,-0.007
00:54.497580,-0.009000000000000001
00:54.501490,-0.011
00:54.505400,-0.012
00:54.509310,-0.013000000000000001
00:54.513220,-0.014
00:54.517130,-0.014
00:54.521040,-0.014
00:54.524950,-0.015
00:54.528860,-0.016
00:54.532770,-0.014
00:54.536680,-0.015
00:54.540590,-0.015
00:54.544500,-0.015
00:54.548410,-0.016
00:54.552320,-0.016
00:54.556230,-0.016
00:54.560140,-0.016
00:54.564050,-0.017
00:54.567960,-0.016
00:54.571870,-0.014
00:54.575780,-0.011
00:54.579690,-0.006
00:54.583600,0.003
00:54.587510,0.019
00:54.591420,0.04
00:54.595330,0.073
00:54.599240,0.11800000000000001
00:54.603150,0.16
00:54.607060,0.181
00:54.610970,0.164
00:54.614880,0.113
00:54.618790,0.046
00:54.622700,-0.021
00:54.626610,-0.062
00:54.630520,-0.068
00:54.634430,-0.058
00:54.638340,-0.045
00:54.642250,-0.034
00:54.646160,-0.03
00:54.650070,-0.028
00:54.653980,-0.026000000000000002
00:54.657890,-0.023
00:54.661800,-0.019
00:54.665710,-0.015
00:54.669620,-0.013000000000000001
00:54.673530,-0.012
00:54.677440,-0.012
00:54.681350,-0.011
00:54.685260,-0.009000000000000001
00:54.689170,-0.007
00:54.693080,-0.008
00:54.696990,-0.008
00:54.700900,-0.007
00:54.704810,-0.006
00:54.708720,-0.005
00:54.712630,-0.005
00:54.716540,-0.004
00:54.720450,-0.004
00:54.724360,-0.004
00:54.728270,-0.004
00:54.732180,-0.002
00:54.736090,0.0
00:54.740000,0.001
00:54.743910,0.001
00:54.747820,0.003
00:54.751730,0.004
00:54.755640,0.004
00:54.759550,0.005
00:54.763460,0.007
00:54.767370,0.009000000000000001
00:54.771280,0.012
00:54.775190,0.013000000000000001
00:54.779100,0.015
00:54.783010,0.017
00:54.786920,0.02
00:54.790830,0.022
00:54.794740,0.023
00:54.798650,0.025
00:54.802560,0.028
00:54.806470,0.03
00:54.810380,0.033
00:54.814290,0.034
00:54.818200,0.037
00:54.822110,0.038
00:54.826020,0.04
00:54.829930,0.042
00:54.833840,0.043000000000000003
00:54.837750,0.044
00:54.841660,0.045
00:54.845570,0.044
00:54.849480,0.045
00:54.853390,0.045
00:54.857300,0.045
00:54.861210,0.044
00:54.865120,0.043000000000000003
00:54.869030,0.043000000000000003
00:54.872940,0.043000000000000003
00:54.876850,0.041
00:54.880760,0.039
00:54.884670,0.037
00:54.888580,0.035
00:54.892490,0.033
00:54.896400,0.029
00:54.900310,0.026000000000000002
00:54.904220,0.025
00:54.908130,0.021
00:54.912040,0.017
00:54.915950,0.015
00:54.919860,0.013000000000000001
00:54.923770,0.011
00:54.927680,0.009000000000000001
00:54.931590,0.006
00:54.935500,0.003
00:54.939410,0.001
00:54.943320,0.0
00:54.947230,-0.001
00:54.951140,-0.002
00:54.955050,-0.003
00:54.958960,-0.004
00:54.962870,-0.004
00:54.966780,-0.004
00:54.970690,-0.005
00:54.974600,-0.004
00:54.978510,-0.004
00:54.982420,-0.005
00:54.986330,-0.006
00:54.990240,-0.007
00:54.994150,-0.007
00:54.998060,-0.007
00:55.001970,-0.006
00:55.005880,-0.005
00:55.009790,-0.006
00:55.013700,-0.006
00:55.017610,-0.005
00:55.021520,-0.005
00:55.025430,-0.005
00:55.029340,-0.004
00:55.033250,-0.003
00:55.037160,-0.004
00:55.041070,-0.005
00:55.044980,-0.003
00:55.048890,-0.002
00:55.052800,-0.002
00:55.056710,-0.002
00:55.060620,-0.002
00:55.064530,-0.002
00:55.068440,-0.002
00:55.072350,-0.002
00:55.076260,-0.003
00:55.080170,-0.002
00:55.084080,-0.002
00:55.087990,-0.002
00:55.091900,-0.002
00:55.095810,-0.003
00:55.099720,-0.004
00:55.103630,-0.003
00:55.107540,-0.003
00:55.111450,-0.003
00:55.115360,-0.003
00:55.119270,-0.004
00:55.123180,-0.005
00:55.127090,-0.005
00:55.131000,-0.005
00:55.134910,-0.005
00:55.138820,-0.006
00:55.142730,-0.006
00:55.146640,-0.007
00:55.150550,-0.008
00:55.154460,-0.008
00:55.158370,-0.008
00:55.162280,-0.008
00:55.166190,-0.009000000000000001
00:55.170100,-0.01
00:55.174010,-0.01
00:55.177920,-0.009000000000000001
00:55.181830,-0.01
00:55.185740,-0.009000000000000001
00:55.189650,-0.009000000000000001
00:55.193560,-0.011
00:55.197470,-0.012
00:55.201380,-0.011
00:55.205290,-0.012
00:55.209200,-0.012
00:55.213110,-0.012
00:55.217020,-0.012
00:55.220930,-0.011
00:55.224840,-0.011
00:55.228750,-0.011
00:55.232660,-0.011
00:55.236570,-0.012
00:55.240480,-0.012
00:55.244390,-0.012
00:55.248300,-0.012
00:55.252210,-0.013000000000000001
00:55.256120,-0.012
00:55.260030,-0.012
00:55.263940,-0.012
00:55.267850,-0.012
00:55.271760,-0.013000000000000001
00:55.275670,-0.013000000000000001
00:55.279580,-0.012
00:55.283490,-0.013000000000000001
00:55.287400,-0.012
00:55.291310,-0.013000000000000001
00:55.295220,-0.013000000000000001
00:55.299130,-0.011
00:55.303040,-0.012
00:55.306950,-0.013000000000000001
00:55.310860,-0.013000000000000001
00:55.314770,-0.013000000000000001
00:55.318680,-0.012
00:55.322590,-0.013000000000000001
00:55.326500,-0.014
00:55.330410,-0.014
00:55.334320,-0.014
00:55.338230,-0.013000000000000001
00:55.342140,-0.013000000000000001
00:55.346050,-0.014
00:55.349960,-0.013000000000000001
00:55.353870,-0.013000000000000001
00:55.357780,-0.013000000000000001
00:55.361690,-0.015
00:55.365600,-0.014
00:55.369510,-0.013000000000000001
00:55.373420,-0.012
00:55.377330,-0.012
00:55.381240,-0.012
00:55.385150,-0.012
00:55.389060,-0.012
00:55.392970,-0.013000000000000001
00:55.396880,-0.013000000000000001
00:55.400790,-0.011
00:55.404700,-0.01
00:55.408610,-0.009000000000000001
00:55.412520,-0.008
00:55.416430,-0.007
00:55.420340,-0.004
00:55.424250,-0.004
00:55.428160,-0.004
00:55.432070,-0.001
00:55.435980,0.001
00:55.439890,0.003
00:55.443800,0.004
00:55.447710,0.003
00:55.451620,0.002
00:55.455530,0.002
00:55.459440,0.002
00:55.463350,0.001
00:55.467260,-0.001
00:55.471170,-0.001
00:55.475080,-0.002
00:55.478990,-0.004
00:55.482900,-0.005
00:55.486810,-0.007
00:55.490720,-0.009000000000000001
00:55.494630,-0.011
00:55.498540,-0.012
00:55.502450,-0.013000000000000001
00:55.506360,-0.014
00:55.510270,-0.016
00:55.514180,-0.016
00:55.518090,-0.016
00:55.522000,-0.015
00:55.525910,-0.016
00:55.529820,-0.016
00:55.533730,-0.017
00:55.537640,-0.016
00:55.541550,-0.016
00:55.545460,-0.016
00:55.549370,-0.016
00:55.553280,-0.017
00:55.557190,-0.018000000000000002
00:55.561100,-0.017
00:55.565010,-0.017
00:55.568920,-0.017
00:55.572830,-0.014
00:55.576740,-0.008
00:55.580650,0.001
00:55.584560,0.018000000000000002
00:55.588470,0.043000000000000003
00:55.592380,0.078
00:55.596290,0.124
00:55.600200,0.165
00:55.604110,0.183
00:55.608020,0.162
00:55.611930,0.108
00:55.615840,0.039
00:55.619750,-0.028
00:55.623660,-0.067
00:55.627570,-0.073
00:55.631480,-0.049
00:55.635390,-0.039
00:55.639300,-0.033
00:55.643210,-0.03
00:55.647120,-0.028
00:55.651030,-0.026000000000000002
00:55.654940,-0.021
00:55.658850,-0.017
00:55.662760,-0.016
00:55.666670,-0.014
00:55.670580,-0.011
00:55.674490,-0.011
00:55.678400,-0.011
00:55.682310,-0.011
00:55.686220,-0.01
00:55.690130,-0.009000000000000001
00:55.694040,-0.008
00:55.697950,-0.008
00:55.701860,-0.008
00:55.705770,-0.007
00:55.709680,-0.007
00:55.713590,-0.006
00:55.717500,-0.006
00:55.721410,-0.005
00:55.725320,-0.003
00:55.729230,-0.002
00:55.733140,-0.002
00:55.737050,-0.002
00:55.740960,0.0
00:55.744870,0.002
00:55.748780,0.003
00:55.752690,0.005
00:55.756600,0.006
00:55.760510,0.006
00:55.764420,0.009000000000000001
00:55.768330,0.011
00:55.772240,0.012
00:55.776150,0.014
00:55.780060,0.015
00:55.783970,0.019
00:55.787880,0.021
00:55.791790,0.023
00:55.795700,0.024
00:55.799610,0.026000000000000002
00:55.803520,0.029
00:55.807430,0.031
00:55.811340,0.033
00:55.815250,0.035
00:55.819160,0.038
00:55.823070,0.039
00:55.826980,0.039
00:55.830890,0.04
00:55.834800,0.041
00:55.838710,0.042
00:55.842620,0.043000000000000003
00:55.846530,0.043000000000000003
00:55.850440,0.043000000000000003
00:55.854350,0.042
00:55.858260,0.043000000000000003
00:55.862170,0.044
00:55.866080,0.044
00:55.869990,0.043000000000000003
00:55.873900,0.04
00:55.877810,0.039
00:55.881720,0.037
00:55.885630,0.036000000000000004
00:55.889540,0.033
00:55.893450,0.031
00:55.897360,0.028
00:55.901270,0.025
00:55.905180,0.018000000000000002
00:55.909090,0.015
00:55.913000,0.012
00:55.916910,0.009000000000000001
00:55.920820,0.007
00:55.924730,0.005
00:55.928640,0.003
00:55.932550,0.0
00:55.936460,-0.001
00:55.940370,-0.002
00:55.944280,-0.002
00:55.948190,-0.003
00:55.952100,-0.005
00:55.956010,-0.006
00:55.959920,-0.007
00:55.963830,-0.007
00:55.967740,-0.007
00:55.971650,-0.007
00:55.975560,-0.009000000000000001
00:55.979470,-0.009000000000000001
00:55.983380,-0.008
00:55.987290,-0.007
00:55.991200,-0.007
00:55.995110,-0.007
00:55.999020,-0.008
00:56.002930,-0.008
00:56.006840,-0.007
00:56.010750,-0.007
00:56.014660,-0.008
00:56.018570,-0.008
00:56.022480,-0.007
00:56.026390,-0.007
00:56.030300,-0.007
00:56.034210,-0.007
00:56.038120,-0.006
00:56.042030,-0.006
00:56.045940,-0.005
00:56.049850,-0.005
00:56.053760,-0.005
00:56.057670,-0.005
00:56.061580,-0.004
00:56.065490,-0.002
00:56.069400,-0.004
00:56.073310,-0.006
00:56.077220,-0.006
00:56.081130,-0.006
00:56.085040,-0.008
00:56.088950,-0.009000000000000001
00:56.092860,-0.011
00:56.096770,-0.012
00:56.100680,-0.011
00:56.104590,-0.01
00:56.108500,-0.01
00:56.112410,-0.012
00:56.116320,-0.012
00:56.120230,-0.014
00:56.124140,-0.014
00:56.128050,-0.014
00:56.131960,-0.014
00:56.135870,-0.013000000000000001
00:56.139780,-0.013000000000000001
00:56.143690,-0.014
00:56.147600,-0.013000000000000001
00:56.151510,-0.013000000000000001
00:56.155420,-0.013000000000000001
00:56.159330,-0.013000000000000001
00:56.163240,-0.011
00:56.167150,-0.011
00:56.171060,-0.011
00:56.174970,-0.012
00:56.178880,-0.012
00:56.182790,-0.013000000000000001
00:56.186700,-0.014
00:56.190610,-0.014
00:56.194520,-0.015
00:56.198430,-0.015
00:56.202340,-0.015
00:56.206250,-0.013000000000000001
00:56.210160,-0.007
00:56.214070,0.003
00:56.217980,0.017
00:56.221890,0.043000000000000003
00:56.225800,0.078
00:56.229710,0.125
00:56.233620,0.165
00:56.237530,0.177
00:56.241440,0.158
00:56.245350,0.107
00:56.249260,0.041
00:56.253170,-0.027
00:56.257080,-0.07
00:56.260990,-0.079
00:56.264900,-0.07200000000000001
00:56.268810,-0.057
00:56.272720,-0.043000000000000003
00:56.276630,-0.035
00:56.280540,-0.03
00:56.284450,-0.026000000000000002
00:56.288360,-0.022
00:56.292270,-0.018000000000000002
00:56.296180,-0.013000000000000001
00:56.300090,-0.011
00:56.304000,-0.01
00:56.307910,-0.01
00:56.311820,-0.01
00:56.315730,-0.008
00:56.319640,-0.006
00:56.323550,-0.006
00:56.327460,-0.006
00:56.331370,-0.005
00:56.335280,-0.004
00:56.339190,-0.005
00:56.343100,-0.005
00:56.347010,-0.005
00:56.350920,-0.004
00:56.354830,-0.002
00:56.358740,-0.002
00:56.362650,-0.002
00:56.366560,-0.002
00:56.370470,0.0
00:56.374380,0.001
00:56.378290,0.002
00:56.382200,0.003
00:56.386110,0.004
00:56.390020,0.005
00:56.393930,0.007
00:56.397840,0.008
00:56.401750,0.009000000000000001
00:56.405660,0.011
00:56.409570,0.012
00:56.413480,0.015
00:56.417390,0.018000000000000002
00:56.421300,0.02
00:56.425210,0.022
00:56.429120,0.025
00:56.433030,0.027
00:56.436940,0.028
00:56.440850,0.029
00:56.444760,0.033
00:56.448670,0.034
00:56.452580,0.035
00:56.456490,0.036000000000000004
00:56.460400,0.037
00:56.464310,0.039
00:56.468220,0.039
00:56.472130,0.038
00:56.476040,0.039
00:56.479950,0.038
00:56.483860,0.038
00:56.487770,0.038
00:56.491680,0.037
00:56.495590,0.035
00:56.499500,0.033
00:56.503410,0.032
00:56.507320,0.031
00:56.511230,0.029
00:56.515140,0.025
00:56.519050,0.022
00:56.522960,0.018000000000000002
00:56.526870,0.016
00:56.530780,0.014
00:56.534690,0.01
00:56.538600,0.006
00:56.542510,0.003
00:56.546420,0.002
00:56.550330,0.001
00:56.554240,-0.001
00:56.558150,-0.003
00:56.562060,-0.005
00:56.565970,-0.006
00:56.569880,-0.007
00:56.573790,-0.009000000000000001
00:56.577700,-0.01
00:56.581610,-0.01
00:56.585520,-0.011
00:56.589430,-0.012
00:56.593340,-0.012
00:56.597250,-0.011
00:56.601160,-0.011
00:56.605070,-0.012
00:56.608980,-0.011
00:56.612890,-0.012
00:56.616800,-0.012
00:56.620710,-0.011
00:56.624620,-0.011
00:56.628530,-0.012
00:56.632440,-0.012
00:56.636350,-0.012
00:56.640260,-0.011
00:56.644170,-0.011
00:56.648080,-0.011
00:56.651990,-0.01
00:56.655900,-0.01
00:56.659810,-0.01
00:56.663720,-0.009000000000000001
00:56.667630,-0.008
00:56.671540,-0.009000000000000001
00:56.675450,-0.01
00:56.679360,-0.01
00:56.683270,-0.009000000000000001
00:56.687180,-0.01
00:56.691090,-0.009000000000000001
00:56.695000,-0.008
00:56.698910,-0.008
00:56.702820,-0.007
00:56.706730,-0.008
00:56.710640,-0.008
00:56.714550,-0.009000000000000001
00:56.718460,-0.01
00:56.722370,-0.01
00:56.726280,-0.009000000000000001
00:56.730190,-0.01
00:56.734100,-0.01
00:56.738010,-0.011
00:56.741920,-0.012
00:56.745830,-0.012
00:56.749740,-0.012
00:56.753650,-0.012
00:56.757560,-0.013000000000000001
00:56.761470,-0.013000000000000001
00:56.765380,-0.012
00:56.769290,-0.012
00:56.773200,-0.012
00:56.777110,-0.014
00:56.781020,-0.014
00:56.784930,-0.015
