time,mv
00:01.036150,-0.008
00:01.040060,-0.008
00:01.043970,-0.007
00:01.047880,-0.007
00:01.051790,-0.008
00:01.055700,-0.007
00:01.059610,-0.007
00:01.063520,-0.008
00:01.067430,-0.009000000000000001
00:01.071340,-0.01
00:01.075250,-0.009000000000000001
00:01.079160,-0.008
00:01.083070,-0.008
00:01.086980,-0.008
00:01.090890,-0.008
00:01.094800,-0.009000000000000001
00:01.098710,-0.008
00:01.102620,-0.009000000000000001
00:01.106530,-0.008
00:01.110440,-0.007
00:01.114350,-0.007
00:01.118260,-0.007
00:01.122170,-0.008
00:01.126080,-0.009000000000000001
00:01.129990,-0.007
00:01.133900,-0.006
00:01.137810,-0.005
00:01.141720,-0.004
00:01.145630,-0.003
00:01.149540,-0.003
00:01.153450,-0.003
00:01.157360,-0.003
00:01.161270,-0.002
00:01.165180,0.0
00:01.169090,0.002
00:01.173000,0.003
00:01.176910,0.004
00:01.180820,0.007
00:01.184730,0.009000000000000001
00:01.188640,0.007
00:01.192550,0.006
00:01.196460,0.006
00:01.200370,0.005
00:01.204280,0.005
00:01.208190,0.004
00:01.212100,0.004
00:01.216010,0.004
00:01.219920,0.001
00:01.223830,0.0
00:01.227740,-0.001
00:01.231650,-0.003
00:01.235560,-0.005
00:01.239470,-0.006
00:01.243380,-0.007
00:01.247290,-0.01
00:01.251200,-0.011
00:01.255110,-0.011
00:01.259020,-0.01
00:01.262930,-0.01
00:01.266840,-0.01
00:01.270750,-0.012
00:01.274660,-0.013000000000000001
00:01.278570,-0.013000000000000001
00:01.282480,-0.013000000000000001
00:01.286390,-0.012
00:01.290300,-0.012
00:01.294210,-0.012
00:01.298120,-0.012
00:01.302030,-0.012
00:01.305940,-0.012
00:01.309850,-0.012
00:01.313760,-0.012
00:01.317670,-0.009000000000000001
00:01.321580,0.004
00:01.325490,0.018000000000000002
00:01.329400,0.039
00:01.333310,0.07
00:01.337220,0.114
00:01.341130,0.156
00:01.345040,0.177
00:01.348950,0.166
00:01.352860,0.11900000000000001
00:01.356770,0.052000000000000005
00:01.360680,-0.016
00:01.364590,-0.059000000000000004
00:01.368500,-0.069
00:01.372410,-0.06
00:01.376320,-0.046
00:01.380230,-0.034
00:01.384140,-0.028
00:01.388050,-0.025
00:01.391960,-0.022
00:01.395870,-0.018000000000000002
00:01.399780,-0.014
00:01.403690,-0.011
00:01.407600,-0.009000000000000001
00:01.411510,-0.008
00:01.415420,-0.007
00:01.419330,-0.007
00:01.423240,-0.005
00:01.427150,-0.005
00:01.431060,-0.004
00:01.434970,-0.004
00:01.438880,-0.002
00:01.442790,-0.002
00:01.446700,0.0
00:01.450610,0.0
00:01.454520,0.0
00:01.458430,0.0
00:01.462340,0.0
00:01.466250,0.002
00:01.470160,0.003
00:01.474070,0.004
00:01.477980,0.005
00:01.481890,0.006
00:01.485800,0.007
00:01.489710,0.007
00:01.493620,0.007
00:01.497530,0.009000000000000001
00:01.501440,0.01
00:01.505350,0.012
00:01.509260,0.014
00:01.513170,0.016
00:01.517080,0.017
00:01.520990,0.019
00:01.524900,0.021
00:01.528810,0.023
00:01.532720,0.026000000000000002
00:01.536630,0.027
00:01.540540,0.029
00:01.544450,0.033
00:01.548360,0.035
00:01.552270,0.038
00:01.556180,0.038
00:01.560090,0.04
00:01.564000,0.041
00:01.567910,0.042
00:01.571820,0.043000000000000003
00:01.575730,0.045
00:01.579640,0.045
00:01.583550,0.046
00:01.587460,0.046
00:01.591370,0.046
00:01.595280,0.046
00:01.599190,0.047
00:01.603100,0.047
00:01.607010,0.046
00:01.610920,0.045
00:01.614830,0.043000000000000003
00:01.618740,0.042
00:01.622650,0.04
00:01.626560,0.038
00:01.630470,0.036000000000000004
00:01.634380,0.033
00:01.638290,0.03
00:01.642200,0.028
00:01.646110,0.025
00:01.650020,0.021
00:01.653930,0.019
00:01.657840,0.017
00:01.661750,0.014
00:01.665660,0.012
00:01.669570,0.01
00:01.673480,0.007
00:01.677390,0.006
00:01.681300,0.005
00:01.685210,0.003
00:01.689120,0.001
00:01.693030,0.0
00:01.696940,-0.002
00:01.700850,-0.002
00:01.704760,-0.002
00:01.708670,-0.002
00:01.712580,-0.003
00:01.716490,-0.003
00:01.720400,-0.002
00:01.724310,-0.003
00:01.728220,-0.004
00:01.732130,-0.004
00:01.736040,-0.004
00:01.739950,-0.004
00:01.743860,-0.005
00:01.747770,-0.004
00:01.751680,-0.002
00:01.755590,-0.003
00:01.759500,-0.004
00:01.763410,-0.004
00:01.767320,-0.004
00:01.771230,-0.003
00:01.775140,-0.002
00:01.779050,-0.002
00:01.782960,-0.002
00:01.786870,-0.003
00:01.790780,-0.003
00:01.794690,-0.002
00:01.798600,-0.003
00:01.802510,-0.004
00:01.806420,-0.005
00:01.810330,-0.004
00:01.814240,-0.004
00:01.818150,-0.004
00:01.822060,-0.004
00:01.825970,-0.003
00:01.829880,-0.004
00:01.833790,-0.004
00:01.837700,-0.004
00:01.841610,-0.004
00:01.845520,-0.006
00:01.849430,-0.006
00:01.853340,-0.006
00:01.857250,-0.006
00:01.861160,-0.006
00:01.865070,-0.004
00:01.868980,-0.003
00:01.872890,-0.004
00:01.876800,-0.005
00:01.880710,-0.004
00:01.884620,-0.005
00:01.888530,-0.006
00:01.892440,-0.006
00:01.896350,-0.007
00:01.900260,-0.008
00:01.904170,-0.008
00:01.908080,-0.008
00:01.911990,-0.009000000000000001
00:01.915900,-0.009000000000000001
00:01.919810,-0.008
00:01.923720,-0.005
00:01.927630,-0.001
00:01.931540,0.008
00:01.935450,0.029
00:01.939360,0.06
00:01.943270,0.10300000000000001
00:01.947180,0.151
00:01.951090,0.186
00:01.955000,0.192
00:01.958910,0.161
00:01.962820,0.10200000000000001
00:01.966730,0.03
00:01.970640,-0.037
00:01.974550,-0.069
00:01.978460,-0.067
00:01.982370,-0.052000000000000005
00:01.986280,-0.036000000000000004
00:01.990190,-0.026000000000000002
00:01.994100,-0.022
00:01.998010,-0.019
00:02.001920,-0.017
00:02.005830,-0.014
00:02.009740,-0.009000000000000001
00:02.013650,-0.005
00:02.017560,-0.004
00:02.021470,-0.004
00:02.025380,-0.003
00:02.029290,-0.002
00:02.033200,-0.001
00:02.037110,-0.002
00:02.041020,0.0
00:02.044930,0.0
00:02.048840,0.001
00:02.052750,0.002
00:02.056660,0.0
00:02.060570,0.001
00:02.064480,0.001
00:02.068390,0.002
00:02.072300,0.004
00:02.076210,0.004
00:02.080120,0.005
00:02.084030,0.005
00:02.087940,0.005
00:02.091850,0.006
00:02.095760,0.008
00:02.099670,0.008
00:02.103580,0.008
00:02.107490,0.01
00:02.111400,0.012
00:02.115310,0.014
00:02.119220,0.015
00:02.123130,0.017
00:02.127040,0.019
00:02.130950,0.021
00:02.134860,0.022
00:02.138770,0.026000000000000002
00:02.142680,0.029
00:02.146590,0.032
00:02.150500,0.034
00:02.154410,0.035
00:02.158320,0.038
00:02.162230,0.039
00:02.166140,0.04
00:02.170050,0.041
00:02.173960,0.042
00:02.177870,0.042
00:02.181780,0.042
00:02.185690,0.042
00:02.189600,0.042
00:02.193510,0.042
00:02.197420,0.042
00:02.201330,0.041
00:02.205240,0.04
00:02.209150,0.04
00:02.213060,0.039
00:02.216970,0.038
00:02.220880,0.036000000000000004
00:02.224790,0.034
00:02.228700,0.031
00:02.232610,0.028
00:02.236520,0.025
00:02.240430,0.023
00:02.244340,0.021
00:02.248250,0.018000000000000002
00:02.252160,0.014
00:02.256070,0.011
00:02.259980,0.009000000000000001
00:02.263890,0.005
00:02.267800,0.003
00:02.271710,0.002
00:02.275620,-0.001
00:02.279530,-0.002
00:02.283440,-0.002
00:02.287350,-0.003
00:02.291260,-0.004
00:02.295170,-0.006
00:02.299080,-0.007
00:02.302990,-0.007
00:02.306900,-0.007
00:02.310810,-0.008
00:02.314720,-0.008
00:02.318630,-0.008
00:02.322540,-0.007
00:02.326450,-0.007
00:02.330360,-0.007
00:02.334270,-0.007
00:02.338180,-0.008
00:02.342090,-0.008
00:02.346000,-0.008
00:02.349910,-0.008
00:02.353820,-0.008
00:02.357730,-0.007
00:02.361640,-0.006
00:02.365550,-0.006
00:02.369460,-0.006
00:02.373370,-0.007
00:02.377280,-0.006
00:02.381190,-0.006
00:02.385100,-0.007
00:02.389010,-0.006
00:02.392920,-0.005
00:02.396830,-0.005
00:02.400740,-0.006
00:02.404650,-0.006
00:02.408560,-0.005
00:02.412470,-0.006
00:02.416380,-0.005
00:02.420290,-0.006
00:02.424200,-0.007
00:02.428110,-0.007
00:02.432020,-0.007
00:02.435930,-0.007
00:02.439840,-0.007
00:02.443750,-0.008
00:02.447660,-0.008
00:02.451570,-0.008
00:02.455480,-0.009000000000000001
00:02.459390,-0.008
00:02.463300,-0.009000000000000001
00:02.467210,-0.01
00:02.471120,-0.01
00:02.475030,-0.01
00:02.478940,-0.011
00:02.482850,-0.012
00:02.486760,-0.011
00:02.490670,-0.011
00:02.494580,-0.011
00:02.498490,-0.01
00:02.502400,-0.011
00:02.506310,-0.011
00:02.510220,-0.012
00:02.514130,-0.013000000000000001
00:02.518040,-0.012
00:02.521950,-0.011
00:02.525860,-0.011
00:02.529770,-0.012
00:02.533680,-0.013000000000000001
00:02.537590,-0.012
00:02.541500,-0.012
00:02.545410,-0.012
00:02.549320,-0.012
00:02.553230,-0.012
00:02.557140,-0.013000000000000001
00:02.561050,-0.012
00:02.564960,-0.012
00:02.568870,-0.013000000000000001
00:02.572780,-0.013000000000000001
00:02.576690,-0.012
00:02.580600,-0.012
00:02.584510,-0.012
00:02.588420,-0.013000000000000001
00:02.592330,-0.013000000000000001
00:02.596240,-0.013000000000000001
00:02.600150,-0.012
00:02.604060,-0.012
00:02.607970,-0.012
00:02.611880,-0.013000000000000001
00:02.615790,-0.013000000000000001
00:02.619700,-0.014
00:02.623610,-0.015
00:02.627520,-0.014
00:02.631430,-0.013000000000000001
00:02.635340,-0.014
00:02.639250,-0.014
00:02.643160,-0.014
00:02.647070,-0.014
00:02.650980,-0.014
00:02.654890,-0.014
00:02.658800,-0.014
00:02.662710,-0.014
00:02.666620,-0.014
00:02.670530,-0.014
00:02.674440,-0.014
00:02.678350,-0.013000000000000001
00:02.682260,-0.014
00:02.686170,-0.014
00:02.690080,-0.014
00:02.693990,-0.014
00:02.697900,-0.013000000000000001
00:02.701810,-0.014
00:02.705720,-0.015
00:02.709630,-0.015
00:02.713540,-0.015
00:02.717450,-0.015
00:02.721360,-0.015
00:02.725270,-0.015
00:02.729180,-0.014
00:02.733090,-0.014
00:02.737000,-0.013000000000000001
00:02.740910,-0.012
00:02.744820,-0.012
00:02.748730,-0.013000000000000001
00:02.752640,-0.013000000000000001
00:02.756550,-0.012
00:02.760460,-0.014
00:02.764370,-0.014
00:02.768280,-0.014
00:02.772190,-0.014
00:02.776100,-0.013000000000000001
00:02.780010,-0.013000000000000001
00:02.783920,-0.013000000000000001
00:02.787830,-0.013000000000000001
00:02.791740,-0.012
00:02.795650,-0.012
00:02.799560,-0.013000000000000001
00:02.803470,-0.013000000000000001
00:02.807380,-0.013000000000000001
00:02.811290,-0.013000000000000001
00:02.815200,-0.013000000000000001
00:02.819110,-0.013000000000000001
00:02.823020,-0.012
00:02.826930,-0.013000000000000001
00:02.830840,-0.013000000000000001
00:02.834750,-0.013000000000000001
00:02.838660,-0.012
00:02.842570,-0.013000000000000001
00:02.846480,-0.012
00:02.850390,-0.011
00:02.854300,-0.013000000000000001
00:02.858210,-0.014
00:02.862120,-0.013000000000000001
00:02.866030,-0.013000000000000001
00:02.869940,-0.014
00:02.873850,-0.013000000000000001
00:02.877760,-0.012
00:02.881670,-0.012
00:02.885580,-0.013000000000000001
00:02.889490,-0.014
00:02.893400,-0.013000000000000001
00:02.897310,-0.013000000000000001
00:02.901220,-0.012
00:02.905130,-0.012
00:02.909040,-0.012
00:02.912950,-0.013000000000000001
00:02.916860,-0.013000000000000001
00:02.920770,-0.012
00:02.924680,-0.012
00:02.928590,-0.012
00:02.932500,-0.012
00:02.936410,-0.012
00:02.940320,-0.012
00:02.944230,-0.012
00:02.948140,-0.012
00:02.952050,-0.011
00:02.955960,-0.012
00:02.959870,-0.012
00:02.963780,-0.013000000000000001
00:02.967690,-0.013000000000000001
00:02.971600,-0.013000000000000001
